date,ticker,close,sma_200,drawdown_6m,zscore,buy_score,tier,trend_score,drawdown_score,zscore_score,suggested_buy_usd
2022-04-08,VOO,389.7002868652344,387.7185415649414,-0.05995217200704206,0.5716166084126189,47,DCA_ONLY,1.0,0.4996014333920172,0.0,200.0
2022-04-11,VOO,382.9485473632813,387.7954669189453,-0.07623893973061868,-0.012031871940768359,36,DCA_ONLY,0.3,0.6353244977551558,0.0048127487763073434,200.0
2022-04-12,VOO,381.5470581054687,387.8615550231934,-0.07961965813696104,-0.15674749629488097,39,DCA_ONLY,0.3,0.663497151141342,0.06269899851795238,200.0
2022-04-13,VOO,385.8556518554687,387.9483755493164,-0.0692263268182387,0.1967248561071235,33,WAIT,0.3,0.5768860568186559,0.0,0.0
2022-04-14,VOO,381.168212890625,388.0100718688965,-0.08053352100379152,-0.21591651087546707,40,DCA_ONLY,0.3,0.671112675031596,0.08636660435018682,200.0
2022-04-18,VOO,381.2345275878906,388.0616966247559,-0.08037355451356898,-0.23014361953352314,40,DCA_ONLY,0.3,0.6697796209464082,0.09205744781340926,200.0
2022-04-19,VOO,387.323486328125,388.12966003417966,-0.06568556830616978,0.24466864178965037,32,WAIT,0.3,0.5473797358847482,0.0,0.0
2022-04-20,VOO,387.0299377441406,388.1996704101563,-0.06639367583928113,0.15118316385782754,32,WAIT,0.3,0.5532806319940095,0.0,0.0
2022-04-21,VOO,381.2913513183594,388.234567565918,-0.08023648244509485,-0.47499543298934654,43,DCA_ONLY,0.3,0.6686373537091238,0.1899981731957386,200.0
2022-04-22,VOO,370.88427734375,388.23233184814455,-0.1053407680084687,-1.5761669773772318,65,BUY,0.3,0.8778397334039059,0.6304667909508928,300.0
2022-04-25,VOO,372.9107666015625,388.2206401062012,-0.10045240407991851,-1.4750840874480224,62,BUY,0.3,0.8371033673326543,0.590033634979209,300.0
2022-04-26,VOO,362.24810791015625,388.1488395690918,-0.12617321948941018,-2.67171333718296,82,STRONG_BUY,0.3,1.0,1.0,500.0
2022-04-27,VOO,363.18548583984375,388.08809967041014,-0.12391204566811409,-2.4175917591443494,81,STRONG_BUY,0.3,1.0,0.9670367036577397,500.0
2022-04-28,VOO,372.2857666015625,388.0702838134766,-0.10196004960212657,-1.401544307330297,62,BUY,0.3,0.8496670800177214,0.5606177229321188,300.0
2022-04-29,VOO,358.61175537109375,387.9901428222656,-0.1349449484857107,-2.442215765284851,81,STRONG_BUY,0.3,1.0,0.9768863061139405,500.0
2022-05-02,VOO,360.8655700683594,387.93584533691404,-0.12950822266775963,-2.000529311233611,76,STRONG_BUY,0.3,1.0,0.8002117244934445,500.0
